sentiments,comments
Positive,Keep up the good work specially when it comes to student's concerns!!!
Neutral,None
Negative,It is sad that UE College of Engineering is one of the few colleges that's still in online learning.
Neutral,None
Neutral,None
Neutral,None
Neutral,"Set up a webinar teaching them how to use online tools for teaching
"
Positive,"The department responds quickly on majority of student concerns. However, there is a difficulty in opening or rescheduling subjects during the online registration period."
Neutral, 
Positive,Very Good
Neutral,none
Neutral,Lack of communication between the staff of the university to the students.
Neutral,None
Neutral,NOTHING
Positive,I have no issues or any suggestions I have in mind right now
Positive,:)
Neutral,None
Positive,Engineering department services are very approachable.
Positive,not accomodating sometimes but overall have a good experience 
Positive,More Renovation and innovation
Positive,Could gain to have more professors.
Neutral,None
Positive,Everything flows smoothly when it comes to different concerns. Very easy to have mutual understanding between the department and students. That's all!
Positive,The office of the engineering department is very accommodating and very approvable. their officers is very active when it comes to communication.
Positive,Need more professors
Neutral,.
